Maniac Mansion|maniac
Zak McKracken and the Alien Mindbenders|zak
Indiana Jones and the Last Crusade|indy3
Loom|loom
Passport to Adventure|pass
The Secret of Monkey Island|monkey
Monkey Island 2: LeChuck's Revenge|monkey2
Indiana Jones and the Fate of Atlantis|atlantis
Day of the Tentacle|tentacle
Sam & Max Hit the Road|samnmax
Full Throttle|ft
The Dig|dig
The Curse of Monkey Island|comi
Leather Goddesses of Phobos 2|lgop2
The Manhole|manhole
Return to Zork|rtz
Rodney's Funscreen|rodney
Elvira - Mistress of the Dark|elvira1
Elvira II - The Jaws of Cerberus|elvira2
Personal Nightmare|pn
Simon the Sorcerer 1|simon1
Simon the Sorcerer 2|simon2
Simon the Sorcerer's Puzzle Pack - D.I.M.P.|dimp
Simon the Sorcerer's Puzzle Pack - Jumble|jumble
Simon the Sorcerer's Puzzle Pack - NoPatience|puzzle
Simon the Sorcerer's Puzzle Pack - Swampy Adventures|swampy
The Feeble Files|feeble
Waxworks|waxworks
Bargon Attack|bargon
Fascination|fascination
Geisha|geisha
Gobliiins|gob1
Gobliins 2|gob2
Goblins 3|gob3
Lost in Time|lostintime
Once Upon A Time: Little Red Riding Hood|littlered
Playtoons: Bambou le Sauveur de la Jungle|bambou
The Bizarre Adventures of Woodruff and the Schnibble|woodruff
Urban Runner|urban
Ween: The Prophecy|ween
Beneath a Steel Sky|sky
Broken Sword: The Shadow of the Templars|sword1
Broken Sword II: The Smoking Mirror|sword2
Lure of the Temptress|lure
The Black Cauldron|bc
Gold Rush!|goldrush
King's Quest I|kq1
King's Quest II|kq2
King's Quest III|kq3
King's Quest IV|kq4
Leisure Suit Larry in the Land of the Lounge Lizards|lsl1
Mixed-Up Mother Goose (AGI)|mixedup
Manhunter 1: New York|mh1
Manhunter 2: San Francisco|mh2
Police Quest I: In Pursuit of the Death Angel|pq1
Space Quest I: The Sarien Encounter|sq1
Space Quest II: Vohaul's Revenge|sq2
Fanmade Games|agi-fanmade
Mickey's Space Adventure|mickey
Troll's Tale|troll
Winnie the Pooh in the Hundred Acre Wood|winnie
Castle of Dr. Brain (EGA and VGA)|castlebrain
Codename: ICEMAN|iceman
Conquests of Camelot|camelot
Conquests of the Longbow (EGA and VGA)|longbow
EcoQuest: The Search for Cetus|ecoquest
EcoQuest 2: Lost Secret of the Rainforest|ecoquest2
Freddy Pharkas: Frontier Pharmacist|freddypharkas
Hoyle's Book of Games 1|hoyle1
Hoyle's Book of Games 2|hoyle2
Hoyle's Book of Games 3 (EGA and VGA)|hoyle3
Hoyle Classic Card Games|hoyle4
Jones in the Fast Lane|jones
King's Quest I (SCI remake)|kq1sci
King's Quest IV (SCI version)|kq4sci
King's Quest V (EGA and VGA)|kq5
King's Quest VI (low and hi res)|kq6
Laura Bow: The Colonel's Bequest|laurabow
Laura Bow 2: The Dagger of Amon Ra|laurabow2
Leisure Suit Larry 1 (SCI remake) (EGA and VGA)|lsl1sci
Leisure Suit Larry 2|lsl2
Leisure Suit Larry 3|lsl3
Leisure Suit Larry 5 (EGA and VGA)|lsl5
Leisure Suit Larry 6 (low res)|lsl6
Mixed-up Fairy Tales|fairytales
Mixed-up Mother Goose|mothergoose
Pepper's Adventures in Time|pepper
Police Quest 1 (SCI remake)|pq1sci
Police Quest 2|pq2
Police Quest 3 (EGA and VGA)|pq3
Quest for Glory 1/Hero's Quest|qfg1
Quest for Glory 1 VGA remake|qfg1vga
Quest for Glory 2|qfg2
Quest for Glory 3|qfg3
Slater & Charlie Go Camping|slater
Space Quest I (SCI remake) (EGA and VGA)|sq1sci
Space Quest III|sq3
Space Quest IV (EGA and VGA)|sq4
Space Quest V|sq5
The Island of Dr. Brain|islandbrain
3 Skulls of the Toltecs|toltecs
Amazon: Guardians of Eden|access
Beavis and Butt-head in Virtual Stupidity|bbvs
Blue Force|blueforce
Broken Sword 2.5: The Return of the Templars|sword25
Bud Tucker in Double Trouble|tucker
Chivalry is Not Dead|chivalry
Cruise for a Corpse|cruise
DreamWeb|dreamweb
